STATIONS_ID;MESS_DATUM;QN_592;ATMO_STRAHL;FD_STRAHL;FG_STRAHL;SD_STRAHL;eor
      15000;20230101;    1;     -999;   148.00;   148.00;    0.0;eor
      15000;20230102;    1;     -999;   107.00;   107.00;    0.0;eor
      15000;20230103;    1;     -999;   192.00;   291.00;    2.7;eor
      15000;20230104;    1;     -999;    78.00;    78.00;    0.0;eor
      15000;20230105;    1;     -999;   166.00;   167.00;    0.1;eor
      15000;20230106;    1;     -999;   107.00;   108.00;    0.0;eor
      15000;20230107;    1;     -999;   225.00;   484.00;    6.3;eor
      15000;20230108;    1;     -999;   238.00;   356.00;    2.8;eor
      15000;20230109;    1;     -999;   129.00;   132.00;    0.1;eor
      15000;20230110;    1;     -999;   248.00;   306.00;    2.3;eor
      15000;20230111;    1;     -999;   196.00;   277.00;    1.5;eor
      15000;20230112;    1;     -999;    75.00;    75.00;    0.0;eor
      15000;20230113;    1;     -999;   152.00;   156.00;    0.2;eor
      15000;20230114;    1;     -999;    75.00;    75.00;    0.0;eor
      15000;20230115;    1;     -999;   161.00;   197.00;    0.8;eor
      15000;20230116;    1;     -999;   192.00;   230.00;    0.8;eor
      15000;20230117;    1;     -999;   195.00;   574.00;    7.2;eor
      15000;20230118;    1;     -999;   214.00;   536.00;    5.9;eor
      15000;20230119;    1;     -999;   107.00;   107.00;    0.0;eor
      15000;20230120;    1;     -999;   133.00;   133.00;    0.0;eor
      15000;20230121;    1;     -999;   280.00;   306.00;    1.0;eor
      15000;20230122;    1;     -999;   213.00;   213.00;    0.0;eor
      15000;20230123;    1;     -999;   260.00;   260.00;    0.0;eor
      15000;20230124;    1;     -999;   233.00;   233.00;    0.0;eor
      15000;20230125;    1;     -999;   183.00;   183.00;    0.0;eor
      15000;20230126;    1;     -999;   199.00;   199.00;    0.0;eor
      15000;20230127;    1;     -999;    56.00;    56.00;    0.0;eor
      15000;20230128;    1;     -999;   205.00;   248.00;    1.5;eor
      15000;20230129;    1;     -999;   272.00;   273.00;    0.0;eor
      15000;20230130;    1;     -999;   204.00;   256.00;    1.1;eor
      15000;20230131;    1;     -999;   194.00;   194.00;    0.0;eor
      15000;20230201;    1;     -999;   239.00;   289.00;    1.3;eor
      15000;20230202;    1;     -999;   215.00;   226.00;    0.3;eor
      15000;20230203;    1;     -999;    73.00;    73.00;    0.0;eor
      15000;20230204;    1;     -999;   366.00;   407.00;    0.8;eor
      15000;20230205;    1;     -999;   165.00;   165.00;    0.0;eor
      15000;20230206;    1;     -999;   339.00;   521.00;    2.9;eor
      15000;20230207;    1;     -999;   234.00;   794.00;    8.3;eor
      15000;20230208;    1;     -999;   166.00;   897.00;    8.5;eor
      15000;20230209;    1;     -999;   450.00;   792.00;    7.4;eor
      15000;20230210;    1;     -999;   441.00;   646.00;    4.2;eor
      15000;20230211;    1;     -999;    94.00;    94.00;    0.0;eor
      15000;20230212;    1;     -999;   250.00;   250.00;    0.0;eor
      15000;20230213;    1;     -999;   176.00;   990.00;    8.8;eor
      15000;20230214;    1;     -999;   211.00;   985.00;    8.8;eor
      15000;20230215;    1;     -999;   346.00;   906.00;    6.9;eor
      15000;20230216;    1;     -999;   450.00;   519.00;    2.0;eor
      15000;20230217;    1;     -999;   388.00;   454.00;    1.2;eor
      15000;20230218;    1;     -999;   157.00;   158.00;    0.0;eor
      15000;20230219;    1;     -999;   242.00;   243.00;    0.0;eor
      15000;20230220;    1;     -999;   451.00;   580.00;    2.6;eor
      15000;20230221;    1;     -999;   368.00;   797.00;    5.6;eor
      15000;20230222;    1;     -999;   554.00;   743.00;    4.3;eor
      15000;20230223;    1;     -999;   142.00;   146.00;    0.1;eor
      15000;20230224;    1;     -999;   304.00;   320.00;    0.4;eor
      15000;20230225;    1;     -999;   448.00;   661.00;    3.0;eor
      15000;20230226;    1;     -999;   400.00;  1082.00;    8.0;eor
      15000;20230227;    1;     -999;   290.00;  1203.00;    9.1;eor
      15000;20230228;    1;     -999;   293.00;  1258.00;    9.5;eor
      15000;20230301;    1;     -999;   293.00;  1229.00;    9.9;eor
      15000;20230302;    1;     -999;   270.00;  1285.00;    9.8;eor
      15000;20230303;    1;     -999;   352.00;   361.00;    0.7;eor
      15000;20230304;    1;     -999;   352.00;   358.00;    0.1;eor
      15000;20230305;    1;     -999;   290.00;   291.00;    0.0;eor
      15000;20230306;    1;     -999;   375.00;   378.00;    0.1;eor
      15000;20230307;    1;     -999;   181.00;   181.00;    0.0;eor
      15000;20230308;    1;     -999;   695.00;   696.00;    0.0;eor
      15000;20230309;    1;     -999;   447.00;   458.00;    0.2;eor
      15000;20230310;    1;     -999;   387.00;   429.00;    1.0;eor
      15000;20230311;    1;     -999;   589.00;  1360.00;    8.5;eor
      15000;20230312;    1;     -999;   522.00;   550.00;    0.5;eor
      15000;20230313;    1;     -999;   559.00;   633.00;    1.0;eor
      15000;20230314;    1;     -999;   325.00;   334.00;    0.2;eor
      15000;20230315;    1;     -999;   640.00;  1100.00;    4.1;eor
      15000;20230316;    1;     -999;   744.00;  1158.00;    5.4;eor
      15000;20230317;    1;     -999;   767.00;  1052.00;    4.0;eor
